Datetime;ghi;dhi;dni;wind_speed;temp_air
2023-01-01 00:00:00;0.0;0.0;0.0;3.3;11.6
2023-01-01 00:10:00;0.0;0.0;0.0;3.6;11.6
2023-01-01 00:20:00;0.0;0.0;0.0;3.3;13.0
2023-01-01 00:30:00;0.0;0.0;0.0;3.7;13.8
2023-01-01 00:40:00;0.0;0.0;0.0;3.3;13.8
2023-01-01 00:50:00;0.0;0.0;0.0;2.9;13.8
2023-01-01 01:00:00;0.0;0.0;0.0;2.6;14.2
2023-01-01 01:10:00;0.0;0.0;0.0;2.6;14.4
2023-01-01 01:20:00;0.0;0.0;0.0;2.5;14.0
2023-01-01 01:30:00;0.0;0.0;0.0;2.9;12.9
2023-01-01 01:40:00;0.0;0.0;0.0;3.0;12.5
2023-01-01 01:50:00;0.0;0.0;0.0;3.1;12.4
2023-01-01 02:00:00;0.0;0.0;0.0;3.4;12.3
2023-01-01 02:10:00;0.0;0.0;0.0;3.3;12.4
2023-01-01 02:20:00;0.0;0.0;0.0;3.2;11.8
2023-01-01 02:30:00;0.0;0.0;0.0;3.1;11.2
2023-01-01 02:40:00;0.0;0.0;0.0;3.4;11.3
2023-01-01 02:50:00;0.0;0.0;0.0;3.7;11.9
2023-01-01 03:00:00;0.0;0.0;0.0;3.6;12.2
2023-01-01 03:10:00;0.0;0.0;0.0;3.3;12.7
2023-01-01 03:20:00;0.0;0.0;0.0;3.4;12.5
2023-01-01 03:30:00;0.0;0.0;0.0;3.4;12.7
2023-01-01 03:40:00;0.0;0.0;0.0;4.2;13.0
2023-01-01 03:50:00;0.0;0.0;0.0;4.6;13.6
2023-01-01 04:00:00;0.0;0.0;0.0;4.5;13.6
2023-01-01 04:10:00;0.0;0.0;0.0;4.5;13.1
2023-01-01 04:20:00;0.0;0.0;0.0;4.5;13.0
2023-01-01 04:30:00;0.0;0.0;0.0;4.0;12.7
2023-01-01 04:40:00;0.0;0.0;0.0;4.8;12.8
2023-01-01 04:50:00;0.0;0.0;0.0;5.3;13.6
2023-01-01 05:00:00;0.0;0.0;0.0;4.9;14.0
2023-01-01 05:10:00;0.0;0.0;0.0;4.4;13.9
2023-01-01 05:20:00;0.0;0.0;0.0;4.3;13.8
2023-01-01 05:30:00;0.0;0.0;0.0;4.0;13.5
2023-01-01 05:40:00;0.0;0.0;0.0;3.5;13.0
2023-01-01 05:50:00;0.0;0.0;0.0;3.2;13.1
2023-01-01 06:00:00;0.0;0.0;0.0;3.3;13.1
2023-01-01 06:10:00;0.0;0.0;0.0;3.5;12.8
2023-01-01 06:20:00;0.0;0.0;0.0;2.8;12.8
2023-01-01 06:30:00;0.0;0.0;0.0;2.0;12.4
2023-01-01 06:40:00;0.0;0.0;0.0;2.4;12.5
2023-01-01 06:50:00;0.0;0.0;0.0;2.8;12.9
2023-01-01 07:00:00;0.0;0.0;0.0;3.1;12.9
2023-01-01 07:10:00;0.0;0.0;0.0;3.0;12.7
2023-01-01 07:20:00;5.0;5.0;0.0;2.7;12.7
2023-01-01 07:30:00;11.67;10.0;16.7;2.4;12.6
2023-01-01 07:40:00;25.0;20.0;50.0;2.3;13.0
2023-01-01 07:50:00;31.67;23.33;83.4;2.7;13.3
2023-01-01 08:00:00;35.0;30.0;50.0;3.3;13.5
2023-01-01 08:10:00;40.0;30.0;100.0;3.8;13.3
2023-01-01 08:20:00;36.67;33.33;33.4;4.1;11.3
2023-01-01 08:30:00;41.67;36.67;50.0;4.2;11.4
2023-01-01 08:40:00;61.67;46.67;150.0;4.2;12.9
2023-01-01 08:50:00;85.0;55.0;300.0;4.8;13.5
2023-01-01 09:00:00;123.33;63.33;600.0;4.5;13.5
2023-01-01 09:10:00;130.0;70.0;586.29;4.4;12.4
2023-01-01 09:20:00;135.0;70.0;532.96;3.7;13.1
2023-01-01 09:30:00;111.67;71.67;284.11;3.6;13.9
2023-01-01 09:40:00;135.0;78.33;356.88;3.2;14.1
2023-01-01 09:50:00;156.67;86.67;397.88;3.4;14.3
2023-01-01 10:00:00;196.67;95.0;529.04;3.1;14.0
2023-01-01 10:10:00;216.67;108.33;522.13;2.7;13.2
2023-01-01 10:20:00;238.33;128.33;495.82;2.4;13.8
2023-01-01 10:30:00;256.67;130.0;538.48;3.0;13.8
2023-01-01 10:40:00;248.33;123.33;504.83;4.1;14.1
2023-01-01 10:50:00;250.0;128.33;469.87;3.2;14.2
2023-01-01 11:00:00;258.33;133.33;464.28;2.6;15.1
2023-01-01 11:10:00;261.67;135.0;454.92;3.3;15.8
2023-01-01 11:20:00;261.67;126.67;471.09;2.7;15.9
2023-01-01 11:30:00;300.0;121.67;607.42;2.1;16.2
2023-01-01 11:40:00;280.0;115.0;550.95;2.3;16.2
2023-01-01 11:50:00;256.67;110.0;482.08;2.1;16.3
2023-01-01 12:00:00;235.0;98.33;443.92;2.2;16.3
2023-01-01 12:10:00;226.67;96.67;418.88;2.0;16.5
2023-01-01 12:20:00;255.0;103.33;486.62;2.2;16.7
2023-01-01 12:30:00;231.67;103.33;411.53;2.2;16.8
2023-01-01 12:40:00;231.67;101.67;418.17;2.9;16.9
2023-01-01 12:50:00;225.0;98.33;410.27;2.3;16.9
2023-01-01 13:00:00;178.33;88.33;294.63;2.8;16.7
2023-01-01 13:10:00;195.0;90.0;348.78;3.3;16.8
2023-01-01 13:20:00;171.67;90.0;276.39;3.2;16.8
2023-01-01 13:30:00;173.33;93.33;276.99;3.0;16.8
2023-01-01 13:40:00;168.33;103.33;231.29;2.8;16.9
2023-01-01 13:50:00;156.67;96.67;220.47;3.0;17.0
2023-01-01 14:00:00;135.0;83.33;197.08;2.4;16.9
2023-01-01 14:10:00;108.33;71.67;145.96;2.0;16.8
2023-01-01 14:20:00;106.67;71.67;146.38;2.1;16.9
2023-01-01 14:30:00;85.0;60.0;110.61;2.3;16.7
2023-01-01 14:40:00;70.0;51.67;86.48;2.0;16.2
2023-01-01 14:50:00;61.67;45.0;84.65;1.7;16.0
2023-01-01 15:00:00;48.33;38.33;55.26;2.0;15.7
2023-01-01 15:10:00;33.33;28.33;30.47;2.1;15.4
2023-01-01 15:20:00;20.0;16.67;22.75;2.0;15.4
2023-01-01 15:30:00;8.33;6.67;12.99;1.6;14.9
2023-01-01 15:40:00;1.67;1.67;0.0;1.0;14.7
2023-01-01 15:50:00;0.0;0.0;0.0;1.0;14.5
2023-01-01 16:00:00;0.0;0.0;0.0;0.8;14.6
2023-01-01 16:10:00;0.0;0.0;0.0;1.1;14.6
2023-01-01 16:20:00;0.0;0.0;0.0;1.4;14.4
2023-01-01 16:30:00;0.0;0.0;0.0;1.8;14.1
2023-01-01 16:40:00;0.0;0.0;0.0;1.9;14.2
2023-01-01 16:50:00;0.0;0.0;0.0;1.6;13.7
2023-01-01 17:00:00;0.0;0.0;0.0;2.4;13.6
2023-01-01 17:10:00;0.0;0.0;0.0;3.3;13.4
2023-01-01 17:20:00;0.0;0.0;0.0;3.7;13.3
2023-01-01 17:30:00;0.0;0.0;0.0;3.3;13.0
2023-01-01 17:40:00;0.0;0.0;0.0;3.4;13.2
2023-01-01 17:50:00;0.0;0.0;0.0;3.9;13.3
2023-01-01 18:00:00;0.0;0.0;0.0;2.6;13.0
2023-01-01 18:10:00;0.0;0.0;0.0;2.4;12.7
2023-01-01 18:20:00;0.0;0.0;0.0;2.1;12.4
2023-01-01 18:30:00;0.0;0.0;0.0;2.1;12.7
2023-01-01 18:40:00;0.0;0.0;0.0;2.2;12.3
2023-01-01 18:50:00;0.0;0.0;0.0;2.4;12.0
