Index;SubTypeIndex;EngIndex;SubsIndex;Renewable;DefEfficiency;HelpEng
0;0;1;0;0;0.9;0.015
1;0;2;0;0;1;0.015
2;1;1;0;0;0.9;0.015
3;1;2;0;0;1;0.015
4;2;3;1;1;0.9;0.01
5;2;4;1;1;1;0.01
6;3;3;1;1;0.9;0.01
7;3;4;1;1;1;0.01
8;4;9;2;1;1;0.002
9;5;0;3;1;3;0.003
10;5;1;0;0;3;0.003
11;5;2;0;0;3;0.003
12;6;0;3;1;4;0.015
13;6;1;0;0;4;0.015
14;6;2;0;0;4;0.015
15;7;0;3;1;4;0.015
16;7;1;0;0;4;0.015
17;7;2;0;0;4;0.015
18;8;5;0;0;1;0.003
19;8;6;4;1;0.9;0.003
20;9;7;4;1;1;0.003
21;9;8;4;1;1;0.003
22;10;0;0;0;1;0
