;Datetime;TT_10
0;2023-01-01 00:00:00;11.6
1;2023-01-01 00:10:00;11.6
2;2023-01-01 00:20:00;13.0
3;2023-01-01 00:30:00;13.8
4;2023-01-01 00:40:00;13.8
5;2023-01-01 00:50:00;13.8
6;2023-01-01 01:00:00;14.2
7;2023-01-01 01:10:00;14.4
8;2023-01-01 01:20:00;14.0
9;2023-01-01 01:30:00;12.9
10;2023-01-01 01:40:00;12.5
11;2023-01-01 01:50:00;12.4
12;2023-01-01 02:00:00;12.3
13;2023-01-01 02:10:00;12.4
14;2023-01-01 02:20:00;11.8
15;2023-01-01 02:30:00;11.2
16;2023-01-01 02:40:00;11.3
17;2023-01-01 02:50:00;11.9
18;2023-01-01 03:00:00;12.2
19;2023-01-01 03:10:00;12.7
20;2023-01-01 03:20:00;12.5
21;2023-01-01 03:30:00;12.7
22;2023-01-01 03:40:00;13.0
23;2023-01-01 03:50:00;13.6
24;2023-01-01 04:00:00;13.6
25;2023-01-01 04:10:00;13.1
26;2023-01-01 04:20:00;13.0
27;2023-01-01 04:30:00;12.7
28;2023-01-01 04:40:00;12.8
29;2023-01-01 04:50:00;13.6
30;2023-01-01 05:00:00;14.0
31;2023-01-01 05:10:00;13.9
32;2023-01-01 05:20:00;13.8
33;2023-01-01 05:30:00;13.5
34;2023-01-01 05:40:00;13.0
35;2023-01-01 05:50:00;13.1
36;2023-01-01 06:00:00;13.1
37;2023-01-01 06:10:00;12.8
38;2023-01-01 06:20:00;12.8
39;2023-01-01 06:30:00;12.4
40;2023-01-01 06:40:00;12.5
41;2023-01-01 06:50:00;12.9
42;2023-01-01 07:00:00;12.9
43;2023-01-01 07:10:00;12.7
44;2023-01-01 07:20:00;12.7
45;2023-01-01 07:30:00;12.6
46;2023-01-01 07:40:00;13.0
47;2023-01-01 07:50:00;13.3
48;2023-01-01 08:00:00;13.5
49;2023-01-01 08:10:00;13.3
50;2023-01-01 08:20:00;11.3
51;2023-01-01 08:30:00;11.4
52;2023-01-01 08:40:00;12.9
53;2023-01-01 08:50:00;13.5
54;2023-01-01 09:00:00;13.5
55;2023-01-01 09:10:00;12.4
56;2023-01-01 09:20:00;13.1
57;2023-01-01 09:30:00;13.9
58;2023-01-01 09:40:00;14.1
59;2023-01-01 09:50:00;14.3
60;2023-01-01 10:00:00;14.0
61;2023-01-01 10:10:00;13.2
62;2023-01-01 10:20:00;13.8
63;2023-01-01 10:30:00;13.8
64;2023-01-01 10:40:00;14.1
65;2023-01-01 10:50:00;14.2
66;2023-01-01 11:00:00;15.1
67;2023-01-01 11:10:00;15.8
68;2023-01-01 11:20:00;15.9
69;2023-01-01 11:30:00;16.2
70;2023-01-01 11:40:00;16.2
71;2023-01-01 11:50:00;16.3
72;2023-01-01 12:00:00;16.3
73;2023-01-01 12:10:00;16.5
74;2023-01-01 12:20:00;16.7
75;2023-01-01 12:30:00;16.8
76;2023-01-01 12:40:00;16.9
77;2023-01-01 12:50:00;16.9
78;2023-01-01 13:00:00;16.7
79;2023-01-01 13:10:00;16.8
80;2023-01-01 13:20:00;16.8
81;2023-01-01 13:30:00;16.8
82;2023-01-01 13:40:00;16.9
83;2023-01-01 13:50:00;17.0
84;2023-01-01 14:00:00;16.9
85;2023-01-01 14:10:00;16.8
86;2023-01-01 14:20:00;16.9
87;2023-01-01 14:30:00;16.7
88;2023-01-01 14:40:00;16.2
89;2023-01-01 14:50:00;16.0
90;2023-01-01 15:00:00;15.7
91;2023-01-01 15:10:00;15.4
92;2023-01-01 15:20:00;15.4
93;2023-01-01 15:30:00;14.9
94;2023-01-01 15:40:00;14.7
95;2023-01-01 15:50:00;14.5
96;2023-01-01 16:00:00;14.6
97;2023-01-01 16:10:00;14.6
98;2023-01-01 16:20:00;14.4
99;2023-01-01 16:30:00;14.1
100;2023-01-01 16:40:00;14.2
101;2023-01-01 16:50:00;13.7
102;2023-01-01 17:00:00;13.6
103;2023-01-01 17:10:00;13.4
104;2023-01-01 17:20:00;13.3
105;2023-01-01 17:30:00;13.0
106;2023-01-01 17:40:00;13.2
107;2023-01-01 17:50:00;13.3
108;2023-01-01 18:00:00;13.0
109;2023-01-01 18:10:00;12.7
110;2023-01-01 18:20:00;12.4
111;2023-01-01 18:30:00;12.7
112;2023-01-01 18:40:00;12.3
113;2023-01-01 18:50:00;12.0
114;2023-01-01 19:00:00;12.3
115;2023-01-01 19:10:00;10.9
116;2023-01-01 19:20:00;11.0
117;2023-01-01 19:30:00;11.3
