Season;Azimuth;Angle;PctOnModule
Summer;-180;0;[0.0014848303137210295, 0.0014929887220381782, 0.0014929887220381782, 0.0014929887220381782, 0.01692378917854296, 0.10678669266047341, 0.23993727238469653, 0.35079946154549485, 0.4492065053308653, 0.5217960438267054, 0.546540881696279, 0.5446822341372546, 0.509212973263313, 0.46114632391924415, 0.3808051348085518, 0.28478917153171357, 0.18128702334083682, 0.08293824795911268, 0.021684271495763678, 0.0022057133530984274, 0.0014929887220381782, 0.0014929887220381782, 0.0014929887220381782, 0.0014929887220381782]
Winter;-180;0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008443614010334298, 0.06633960914801205, 0.14631733988627396, 0.20750167901539215, 0.22961024122382903, 0.23591655791295274, 0.21445811363371162, 0.16867856818411858, 0.10956426384837953, 0.051585659633706746, 0.012082585973345703, 0.0006279227246654499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;5;[0.0014832447214188774, 0.0014913944176904097, 0.0014913944176904097, 0.0014913944176904097, 0.012288588194274036, 0.09710359120316597, 0.23658687019387323, 0.35546741024419787, 0.46029061202623717, 0.5375264030496211, 0.5641009778768029, 0.5623266198112559, 0.5256171136900609, 0.47468427428310467, 0.390366195134669, 0.2898464743902436, 0.18213882529295586, 0.08113996287734025, 0.020067802699562955, 0.0016117180021408364, 0.0014913944176904097, 0.0014913944176904097, 0.0014913944176904097, 0.0014913944176904097]
Winter;-180;5;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009025150207799653, 0.07382395554919892, 0.1620578363525756, 0.22652764501526593, 0.24686844683617637, 0.25308252276652177, 0.22949949298505243, 0.18049536502876615, 0.1172358478024256, 0.05526661725139692, 0.012669165956425543, 0.0006379133151774933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;10;[0.0014784998257940988, 0.00148662345121055, 0.00148662345121055, 0.00148662345121055, 0.009093092444679414, 0.08688452234395666, 0.23191444686267093, 0.35819347295367976, 0.46889097137270636, 0.5503631156367702, 0.5786609586876874, 0.5770203416040943, 0.5392724250013644, 0.485789042296291, 0.3979637232094477, 0.29346571667414867, 0.18209394438021712, 0.07894618147825024, 0.018353165879343405, 0.00148662345121055, 0.00148662345121055, 0.00148662345121055, 0.00148662345121055, 0.00148662345121055]
Winter;-180;10;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009559981823356902, 0.08086412290083257, 0.1767517264256273, 0.24416583877941908, 0.2627401402671286, 0.26884054384913664, 0.2433031947112258, 0.19134722571506949, 0.12429367238920258, 0.05866725490421305, 0.01319101275205005, 0.000643812665947755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;15;[0.0014706311859125647, 0.0014787115770439523, 0.0014787115770439523, 0.0014787115770439523, 0.009015706927644777, 0.07622310291062089, 0.22594801771446688, 0.35896205698221617, 0.4749651191433801, 0.5602499458700453, 0.5901600608533693, 0.5887020909048593, 0.5501183146944264, 0.4944063392249636, 0.40355574248447174, 0.29562435825681493, 0.18115229265285496, 0.07637248950704839, 0.016551540325551225, 0.0014787115770439523, 0.0014787115770439523, 0.0014787115770439523, 0.0014787115770439523, 0.0014787115770439523]
Winter;-180;15;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010042778720546246, 0.08740692680013513, 0.19031035539575944, 0.2603152574933504, 0.27713509478151005, 0.28310199515385254, 0.2557884059831882, 0.2011676187649388, 0.13069114424545042, 0.061757402443020006, 0.013644262114309864, 0.0006455763590651564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;20;[0.0014596977847610934, 0.0014677181022597807, 0.0014677181022597807, 0.0014677181022597807, 0.008908486527737174, 0.06518882903109248, 0.21872422484028317, 0.35776888856411526, 0.47848416837771346, 0.5671458022527803, 0.5985531481730367, 0.5973260635925504, 0.558109078588393, 0.5004955541801338, 0.4071120717235745, 0.29630902027261347, 0.17931985132687683, 0.07343727283344213, 0.01468981757997296, 0.0014677181022597807, 0.0014677181022597807, 0.0014677181022597807, 0.0014677181022597807, 0.0014677181022597807]
Winter;-180;20;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010467342960141937, 0.09340950981365115, 0.2026550156264372, 0.27488778128252983, 0.28997524925113016, 0.2957904965467731, 0.2668848887462997, 0.20989818100425886, 0.13638687240719916, 0.064518243515316, 0.014025563976002952, 0.0006431911754416652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
