Smart Meter;Battery;Grid Oriented;Month;Building 1 Self Use (kWh);Building 1 Feed-in (kWh);Building 1 From Grid (kWh);Building 2 Self Use (kWh);Building 2 Feed-in (kWh);Building 2 From Grid (kWh);System Self Use (kWh);System Feed-in (kWh);System From Grid (kWh)
False;[0. 0.];False;1;280,54013398153273;142,44971026141772;2635,8643148230262;216,6312716482953;108,76150661664819;1050,3453656148324;510,53827017495314;237,84435233294082;3668,8938493374117
False;[0. 0.];False;2;537,2543073043126;752,9135802685411;2090,1371317842027;338,6965669392038;601,660587019799;798,9442138192572;903,5469148891922;1326,9781266426642;2857,924180942107
False;[0. 0.];False;3;647,9968661432771;926,6163820741103;1994,9727760751068;386,5871792246578;1017,0054882630484;658,007061709979;1074,6254554205182;1903,5804602845753;2609,4344226154553
False;[0. 0.];False;4;704,205839761354;1012,5480478065305;1753,9702066070959;410,24163532114113;1307,7034721617788;517,7263971162014;1166,0960093330093;2268,602985717795;2216,8170469419724
False;[0. 0.];False;5;743,3455156993236;1537,5789893461988;1487,3586381758412;375,2509716338921;2092,0260984530382;333,478646865446;1202,7069981125053;3545,494577019947;1733,8786324600303
False;[0. 0.];False;6;777,4649634990973;1962,640785595487;1218,5596636074144;351,4381924547792;2844,863557892904;202,32090692588517;1278,4397972914787;4657,967702150789;1268,825804185765
False;[0. 0.];False;7;713,0808841165626;1688,0719054751446;1331,5828173082214;321,90938423955885;2300,733007896;234,36760972081723;1134,4444528468712;3889,3507288803953;1463,9232384348616
False;[0. 0.];False;8;637,9292267804424;1349,1302011090397;1434,5203883590787;291,7141338772858;1707,9144336848383;287,4498326822191;989,602108832747;2997,085886618859;1659,397377260839
False;[0. 0.];False;9;616,4202115653526;1798,9453367339245;1415,39025615298;274,9103595983763;1815,0585932144925;308,81344105342833;939,5196338479495;3565,814867264196;1673,4546238290895
False;[0. 0.];False;10;502,64798453424993;864,1376068712597;1809,3680956230628;262,0312453962741;874,6452763804817;513,8182820049595;795,860470417607;1707,6016427646582;2289,0480635644094
